,vin,1st_prediction_instance_km,Predicted as Failed,Actual Failed,ANN_EGR_KM,Predicted in advance km
0,MB1A3EHD5JADJ1088,86862.6,Y,Y,88633.0,1770.3999999999942
1,MB1A3EHD5JAWJ7589,67466.0,Y,Y,73500.0,6034.0
2,MB1A3EHD8JAYJ5583,82678.1,Y,Y,86200.0,3521.899999999994
3,MB1CTCHD0JEWC3057,40390.1,Y,Y,40538.0,147.90000000000146
4,MB1CTCHD2JPAE5230,78750.6,Y,Y,80760.0,2009.3999999999942
5,MB1CTCHD2JPGC2824,135462.0,Y,Y,147091.0,11629.0
6,MB1CTCHD5JPBE1725,91547.0,Y,Y,102571.0,11024.0
7,MB1CTCHD6JAYJ5210,77921.7,Y,Y,80050.0,2128.300000000003
8,MB1CTCHD7JAXJ5875,90739.0,Y,Y,99650.0,8911.0
9,MB1CTCHD9KPJG5623,32214.5,Y,Y,40150.0,7935.5
10,MB1G3CHD6JECB1522,882.7,Y,Y,1395.0,512.3
11,MB1G3CHDXJEYB9542,200.0,Y,Y,555.0,355.0
12,MB1KACHD0JPCD8414,70580.3,Y,Y,74268.0,3687.699999999997
13,MB1KACHD1JPCD8535,113831.8,Y,Y,126722.0,12890.199999999997
14,MB1KACHD1JPFC7222,60623.9,Y,Y,60882.0,258.09999999999854
15,MB1KACHD2JEAB6825,24361.9,Y,Y,30801.0,6439.0999999999985
16,MB1KACHD3JAGH6461,156487.0,Y,Y,160061.0,3574.0
17,MB1KACHD3JAGH6461,156487.0,Y,Y,165092.0,8605.0
18,MB1KACHD3JEFA4536,75697.9,Y,Y,82282.0,6584.100000000006
19,MB1KACHD3JPGC1778,139514.1,Y,Y,141300.0,1785.8999999999942
20,MB1KACHD3JPWG4126,20160.4,Y,Y,20245.0,84.59999999999854
21,MB1KACHD3JPXF9348,36767.1,Y,Y,40992.0,4224.9000000000015
22,MB1KACHD3JRXZ5825,44062.2,Y,Y,47892.0,3829.800000000003
23,MB1KACHD3KPHH2993,25385.6,Y,Y,37374.0,11988.400000000001
24,MB1KACHD4JPYF4291,52922.4,Y,Y,61514.0,8591.599999999999
25,MB1KACHD5JPED1481,110883.9,Y,Y,131000.0,20116.100000000006
26,MB1KACHD5JPWG5083,55305.7,Y,Y,71180.0,15874.300000000003
27,MB1KACHD5JPXF9416,53104.9,Y,Y,59282.0,6177.0999999999985
28,MB1KACHD5JRXZ8094,47357.4,Y,Y,54045.0,6687.5999999999985
29,MB1KACHD6JAXJ6176,20785.9,Y,Y,22750.0,1964.0999999999985
30,MB1KACHD6JEDA7439,82804.2,Y,Y,90548.0,7743.800000000003
31,MB1KACHD6JEFA3607,152323.4,Y,Y,161065.0,8741.600000000006
32,MB1KACHD6JPHB6044,84249.1,Y,Y,86523.0,2273.899999999994
33,MB1KACHD6KPHH2843,23760.0,Y,Y,24999.0,1239.0
34,MB1KACHD7JAYJ5086,97723.9,Y,Y,102765.0,5041.100000000006
35,MB1KACHD7JPCD9138,35096.2,Y,Y,39943.0,4846.800000000003
36,MB1KACHD7KPJG5203,13695.9,Y,Y,14884.0,1188.1000000000004
37,MB1KACHD7KPJG9140,14640.9,Y,Y,16747.0,2106.1000000000004
38,MB1KACHD7KRJA3563,42992.4,Y,Y,47368.0,4375.5999999999985
39,MB1KACHDXJRGW2952,87916.9,Y,Y,95082.0,7165.100000000006
40,MB1KACHDXKEHD0431,43650.0,Y,Y,45631.0,1981.0
41,MB1KAKHD9JPEC9937,59502.3,Y,Y,68940.0,9437.699999999997
42,MB1NACHD1JPHB4618,78215.4,Y,Y,80241.0,2025.6000000000058
43,MB1NACHD3JPHB6967,77118.6,Y,Y,85950.0,8831.399999999994
44,MB1NACHD3JRHV9259,102687.9,Y,Y,104174.0,1486.1000000000058
45,MB1NACHD5JAHH4551,100532.5,Y,Y,104278.0,3745.5
46,MB1NACHD5JPHB4220,155757.3,Y,Y,172508.0,16750.70000000001
47,MB1NACHD8JAFH7129,71281.6,Y,Y,81324.0,10042.399999999994
48,MB1NACHD9JPHB6441,127406.3,Y,Y,134404.0,6997.699999999997
49,MB1NACHDXJRHV9694,139061.4,Y,Y,152400.0,13338.600000000006
50,MB1TLCHD2JEAB5964,33831.8,Y,Y,35556.0,1724.199999999997
51,MB1TLDHD9JPHB5149,66103.0,Y,Y,72626.0,6523.0
52,MB1TLKHD9KPHH5552,41058.8,Y,Y,42529.0,1470.199999999997
53,MB1TRCHD0JREX1473,52837.7,Y,Y,54843.0,2005.300000000003
54,MB1TRCHD5JEGA2092,11675.4,Y,Y,13397.0,1721.6000000000004
55,MB1TRKHD0JPCD9599,69005.1,Y,Y,77733.0,8727.899999999994
56,MB1TRKHD0JPCD9683,30411.6,Y,Y,31540.0,1128.4000000000015
57,MB1TRKHD1JPXF5712,38968.4,Y,Y,40876.0,1907.5999999999985
58,MB1TRKHD2JPED0974,59278.9,Y,Y,61285.0,2006.0999999999985
59,MB1TRKHD3JPXF8501,32327.6,Y,Y,34500.0,2172.4000000000015
60,MB1TRKHD3JPYF3706,37897.5,Y,Y,39836.0,1938.5
61,MB1TRKHD4JPAE8428,45508.5,Y,Y,50300.0,4791.5
62,MB1TRKHD4JPDD5817,64111.5,Y,Y,71866.0,7754.5
63,MB1TRKHD4JRYZ3852,33644.1,Y,Y,40991.0,7346.9000000000015
64,MB1TRKHD6JPDD4958,59248.5,Y,Y,67940.0,8691.5
65,MB1TRKHD7JPCD9681,63209.6,Y,Y,65975.0,2765.4000000000015
66,MB1TRKHD7JPYF1571,59036.9,Y,Y,66182.0,7145.0999999999985
67,MB1TRKHDXJPCD8878,49131.0,Y,Y,54210.0,5079.0
68,MB1UPDHD0JPYF1160,81340.0,Y,Y,87362.0,6022.0
69,MB1UPKHD1JPYF2094,126590.8,Y,Y,141223.0,14632.199999999997
70,MB1UPKHD3JPDD3521,72498.3,Y,Y,79209.0,6710.699999999997
71,MB1UPKHD6JPAE5993,49355.5,Y,Y,51200.0,1844.5
72,MB1UPKHD9JPBE3299,42652.8,Y,Y,50667.0,8014.199999999997
73,MB1UPKHD9JPDD7217,85484.4,Y,Y,86006.0,521.6000000000058
74,MB1UPKHD9JPDD7217,85484.4,Y,Y,94399.0,8914.600000000006
75,MB1UPKHD9JPDD7217,85484.4,Y,Y,97590.0,12105.600000000006
76,MB1UPKHDXJPXF7789,51017.9,Y,Y,52900.0,1882.0999999999985
77,MB1A3CHD0KPHH2911,23761.4,Y,N,,
78,MB1A3CHD2KPHH3803,39547.8,Y,N,,
79,MB1A3CHD3JPED0741,52068.8,Y,N,,
80,MB1A3CHD3JRYZ0598,27688.2,Y,N,,
81,MB1A3CHD4JEXC2438,108088.9,Y,N,,
82,MB1A3CHD4KPHH3026,30718.3,Y,N,,
83,MB1A3CHD5HAJH3396,1149.0,Y,N,,
84,MB1A3CHD7JRYZ3634,36969.6,Y,N,,
85,MB1A3CHD9JADJ0093,70751.5,Y,N,,
86,MB1A3CHD9JPED0310,54075.9,Y,N,,
